CustomerName,ProductId,CustomerProductCode,ProductName,ProductNumber,APSCode,CustomerCode,LMSCustomerName,LMSCustomerId,ProductType,ProductStatus,ClientDepartment,Analysisfield1,Analysisfield2,OMProductId,SellingUOM,CustomerId,ProductOwner,ProductManager,VatRate,ChargingCategory
Moon and Stars,1,SAMPLE_0001,Sample Product 1,PX0000001,PX0000001,999,Moon Stars LMS Account,999,GNPR,DRAFT,Stars,M0001,NULL,1,SINGLE,999,ProductOwner2@MoonStars.co.uk,ProductManager1@theapsgroup.com,0,Charge on Production
Moon and Stars,2,SAMPLE_0002,Sample Product 2,PX0000002,PX0000002,999,Moon Stars LMS Account,999,GNPR,DRAFT,Moon,M0001,NULL,2,SINGLE,999,ProductOwner2@MoonStars.co.uk,ProductManager4@theapsgroup.com,0,Charge on Production
Moon and Stars,3,SAMPLE_0003,Sample Product 3,PX0000003,PX0000003,999,Moon Stars LMS Account,999,GNPR,DRAFT,Sun,M0003,NULL,3,SINGLE,999,ProductOwner4@MoonStars.co.uk,ProductManager4@theapsgroup.com,0,Charge on Production
Moon and Stars,4,SAMPLE_0004,Sample Product 4,PX0000004,PX0000004,999,Moon Stars LMS Account,999,GNPR,DRAFT,Moon,M0001,NULL,4,SINGLE,999,ProductOwner2@MoonStars.co.uk,ProductManager4@theapsgroup.com,0.2,Charge on Production
Moon and Stars,5,SAMPLE_0005,Sample Product 5,PX0000005,PX0000005,999,Moon Stars LMS Account,999,GNPR,DRAFT,Moon,M0001,NULL,5,SINGLE,999,ProductOwner1@MoonStars.co.uk,ProductManager1@theapsgroup.com,0,Charge on Production
Moon and Stars,6,SAMPLE_0006,Sample Product 6,PX0000006,PX0000006,999,Moon Stars LMS Account,999,LTHD,DRAFT,Sun,M0002,NULL,6,SINGLE,999,ProductOwner3@MoonStars.co.uk,ProductManager3@theapsgroup.com,0,Charge on Production
Moon and Stars,7,SAMPLE_0007,Sample Product 7,PX0000007,PX0000007,999,Moon Stars LMS Account,999,PSTR,DRAFT,Moon,M0001,NULL,7,SINGLE,999,ProductOwner1@MoonStars.co.uk,ProductManager2@theapsgroup.com,0,Charge on Production
Moon and Stars,8,SAMPLE_0008,Sample Product 8,PX0000008,PX0000008,999,Moon Stars LMS Account,999,PSTR,DRAFT,Stars,M0001,NULL,8,SINGLE,999,ProductOwner1@MoonStars.co.uk,ProductManager3@theapsgroup.com,0.2,Charge on Production
Moon and Stars,9,SAMPLE_0009,Sample Product 9,PX0000009,PX0000009,999,Moon Stars LMS Account,999,PSTR,DRAFT,Stars,M0001,NULL,9,SINGLE,999,ProductOwner2@MoonStars.co.uk,ProductManager1@theapsgroup.com,0,Charge on Production
Moon and Stars,10,SAMPLE_0010,Sample Product 10,PX0000010,PX0000010,999,Moon Stars LMS Account,999,PSTR,DRAFT,Sun,M0001,NULL,10,SINGLE,999,ProductOwner1@MoonStars.co.uk,ProductManager1@theapsgroup.com,0,Charge on Production
Moon and Stars,11,SAMPLE_0011,Sample Product 11,PX0000011,PX0000011,999,Moon Stars LMS Account,999,PSTR,DRAFT,Sun,M0001,NULL,11,SINGLE,999,ProductOwner2@MoonStars.co.uk,ProductManager2@theapsgroup.com,0.2,Charge on Production
Moon and Stars,12,SAMPLE_0012,Sample Product 12,PX0000012,PX0000012,999,Moon Stars LMS Account,999,PSTR,DRAFT,Stars,M0002,NULL,12,SINGLE,999,ProductOwner3@MoonStars.co.uk,ProductManager1@theapsgroup.com,0,Charge on Production
